Step;Has Improved;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Temperature
106;1;313982;-1,5032;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;46992,0092571737
107;-1;294282;6,2742;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;46052,1690720302
108;1;295686;-0,4771;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;45131,1256905896
109;1;310482;-5,004;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;44228,5031767778
110;1;321538;-3,5609;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;43343,9331132423
111;-1;311580;3,097;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;42477,0544509774
112;-1;309520;0,6611;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;41627,5133619579
113;1;320024;-3,3936;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;40794,9630947187
114;-1;272378;14,8883;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;39979,0638328244
115;1;297758;-9,3179;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;39179,4825561679
116;1;311928;-4,7589;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;38395,8929050445
117;-1;294866;5,4699;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;37627,9750469436
118;1;322686;-9,4348;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;36875,4155460047
119;-1;304670;5,5831;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;36137,9072350847
120;1;309270;-1,5098;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;35415,149090383
121;-1;297886;3,6809;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;34706,8461085753
122;1;299542;-0,5559;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;34012,7091864038
123;1;318174;-6,2202;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;33332,4550026757
124;1;331630;-4,2291;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;32665,8059026222
125;-1;304238;8,2598;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;32012,4897845698
126;-1;284922;6,349;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;31372,2399888784
127;1;339546;-19,1716;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;30744,7951891008
128;0;339546;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;30129,8992853188
129;-1;319762;5,8266;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;29527,3012996124
130;-1;300244;6,1039;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;28936,7552736202
131;-1;299682;0,1872;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;28358,0201681478
132;1;310086;-3,4717;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;27790,8597647848
133;-1;298822;3,6325;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;27235,0425694891
134;1;308572;-3,2628;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;26690,3417180993
135;1;316664;-2,6224;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;26156,5348837373
136;1;340684;-7,5853;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;25633,4041860626
137;-1;325940;4,3278;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;25120,7361023413
138;-1;313272;3,8866;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;24618,3213802945
139;1;313478;-0,0658;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;24125,9549526886
140;-1;313348;0,0415;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;23643,4358536348
141;-1;304082;2,9571;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;23170,5671365621
142;-1;288102;5,2552;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;22707,1557938309
143;1;320306;-11,178;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;22253,0126779543
144;-1;301598;5,8407;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;21807,9524243952
145;1;318330;-5,5478;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;21371,7933759073
146;1;327230;-2,7958;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;20944,3575083891
147;-1;296202;9,482;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;20525,4703582214
148;-1;295200;0,3383;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;20114,9609510569
149;1;298812;-1,2236;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;19712,6617320358
150;1;307312;-2,8446;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;19318,4084973951
151;-1;298134;2,9865;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;18932,0403274472
152;-1;291744;2,1433;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;18553,3995208982
153;-1;285918;1,997;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;18182,3315304803
154;1;305210;-6,7474;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;17818,6848998707
155;1;318320;-4,2954;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;17462,3112018732
156;-1;291466;8,4362;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;17113,0649778358
157;-1;283744;2,6494;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;16770,8036782791
158;1;302648;-6,6623;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;16435,3876047135
159;1;315892;-4,376;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;16106,6798526192
160;-1;310664;1,655;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;15784,5462555668
161;1;319736;-2,9202;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;15468,8553304555
162;-1;286150;10,5043;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;15159,4782238464
163;1;290792;-1,6222;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;14856,2886593695
164;1;296546;-1,9787;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;14559,1628861821
165;-1;288858;2,5925;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;14267,9796284584
166;1;305626;-5,8049;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;13982,6200358893
167;1;313472;-2,5672;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;13702,9676351715
168;-1;294922;5,9176;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;13428,908282468
169;0;294922;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;13160,3301168187
170;0;294922;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;12897,1235144823
171;1;303848;-3,0266;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;12639,1810441927
172;0;303848;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;12386,3974233088
173;1;312280;-2,7751;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;12138,6694748426
174;0;312280;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;11895,8960853458
175;0;312280;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;11657,9781636389
176;0;312280;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;11424,8186003661
177;0;312280;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;11196,3222283588
178;0;312280;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;10972,3957837916
179;-1;306258;1,9284;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;10752,9478681158
180;-1;290964;4,9938;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;10537,8889107534
181;1;299252;-2,8485;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;10327,1311325384
182;-1;288816;3,4874;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;10120,5885098876
183;0;288816;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;9918,17673968985
184;0;288816;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;9719,81320489606
185;0;288816;0;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;9525,41694079814
186;-1;282932;2,0373;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;9334,90860198217
187;1;286886;-1,3975;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;9148,21042994253
188;-1;273334;4,7238;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;8965,24622134368
189;1;288242;-5,4541;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;8785,9412969168
190;-1;262892;8,7947;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;8610,22247097847
191;-1;262524;0,14;{4,7,2,9,1,8,6,10,5,3,12,11};254132;0;8438,0180215589
192;1;274604;-4,6015;{4,6,11,9,10,3,12,7,8,1,5,2};250668;1,3631;8269,25766112772
193;1;286260;-4,2447;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;8103,87250790517
194;-1;273850;4,3352;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;7941,79505774706
195;1;284248;-3,797;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;7782,95915659212
196;0;284248;0;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;7627,29997346028
197;-1;274778;3,3316;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;7474,75397399107
198;1;283482;-3,1676;{4,6,11,9,10,3,12,7,8,1,5,2};250668;0;7325,25889451125
199;-1;266902;5,8487;{4,12,11,3,10,6,9,7,8,5,1,2};249696;0,3878;7178,75371662103
200;1;268984;-0,7801;{4,12,11,3,10,6,9,7,8,5,1,2};249696;0;7035,17864228861
